"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.125621000E-2,2.079567909E0,-5.477600098E-1,3.934803009E-1
6.632339800E-2,2.131193876E0,-8.225927353E-1,6.763525009E-1
7.140527300E-2,2.090100050E0,-1.206877708E0,1.006910324E0
7.649865800E-2,1.902062893E0,-1.608352661E0,1.114936829E0
8.159865800E-2,1.657883883E0,-1.918422699E0,1.115504265E0
8.669865800E-2,1.383615851E0,-2.182129860E0,1.070437431E0
9.179865800E-2,1.113089561E0,-2.391437054E0,1.041900635E0
9.684652300E-2,7.969592810E-1,-2.511346817E0,9.580516815E-1
1.018642830E-1,4.741898775E-1,-2.629351139E0,7.898721695E-1
1.068819920E-1,1.915335655E-1,-2.673503399E0,6.088695526E-1
1.118997000E-1,-4.734110832E-2,-2.661610126E0,4.057617188E-1
1.169174080E-1,-2.882168293E-1,-2.601248741E0,2.129287720E-1
1.219351170E-1,-4.874339104E-1,-2.476481438E0,8.897876740E-2
1.269528250E-1,-6.028096676E-1,-2.335541725E0,-2.003097534E-2
1.319705330E-1,-6.390399933E-1,-2.211170197E0,-6.433105469E-2
1.369882420E-1,-5.626971722E-1,-2.070194244E0,-1.661996841E-1
1.420059500E-1,-3.725669384E-1,-1.880312443E0,-4.252510071E-1
1.470236580E-1,-1.770479679E-1,-1.674596310E0,-8.735027313E-1
1.520413670E-1,4.925179482E-2,-1.544845104E0,-1.417694569E0
1.570590750E-1,2.384126186E-1,-1.478250027E0,-1.916965485E0
1.620767830E-1,4.586561918E-1,-1.499457836E0,-2.299900532E0
1.670944920E-1,7.195582390E-1,-1.521156788E0,-2.613183022E0
1.721122000E-1,1.016281128E0,-1.583775997E0,-2.934641361E0
1.771299080E-1,1.348815799E0,-1.633547306E0,-3.228452206E0
1.821476170E-1,1.647536039E0,-1.627634525E0,-3.431701660E0
1.871653250E-1,1.555494189E0,-1.771160126E0,-3.608669758E0
1.921830330E-1,1.287856579E0,-1.896289825E0,-3.677298069E0
1.972007420E-1,9.742035270E-1,-1.974955559E0,-3.636605740E0
2.022184500E-1,8.530174494E-1,-1.919494629E0,-3.480268002E0
2.072361580E-1,1.090908647E0,-1.910125732E0,-3.360935688E0
2.122538670E-1,1.514208555E0,-1.982151508E0,-3.320690632E0
2.172715750E-1,1.912419796E0,-2.044094563E0,-3.227516651E0
2.222892830E-1,2.090252399E0,-2.128679752E0,-3.087327957E0
2.273069920E-1,2.128282547E0,-2.151401997E0,-2.975501060E0
2.323247000E-1,2.306649685E0,-2.132882118E0,-2.876466751E0
2.373424080E-1,2.375348091E0,-2.074715137E0,-2.695119858E0
2.423601170E-1,2.178535938E0,-2.011425972E0,-2.563068390E0
2.473778250E-1,1.848631620E0,-1.915741444E0,-2.651726246E0
2.523955330E-1,1.552605391E0,-1.859000206E0,-2.853030205E0
2.574132420E-1,1.332025528E0,-1.821904182E0,-2.873635769E0
2.624310020E-1,1.231996775E0,-1.733930588E0,-2.932744026E0
2.674487620E-1,1.198569417E0,-1.652582169E0,-3.095149040E0
2.724665230E-1,1.179011464E0,-1.690545559E0,-3.236726284E0
2.774842830E-1,1.097964168E0,-1.742397785E0,-3.249692440E0
2.825020440E-1,9.988263845E-1,-1.775125027E0,-3.225583553E0
2.875198040E-1,9.240510464E-1,-1.812677383E0,-3.160251617E0
2.925375640E-1,8.165049553E-1,-1.793934822E0,-3.073074818E0
2.975553250E-1,7.516254187E-1,-1.762268066E0,-2.983123302E0
3.025730850E-1,7.142979503E-1,-1.769677162E0,-2.847978115E0
3.075908460E-1,6.895377636E-1,-1.796851158E0,-2.686958790E0
3.126086060E-1,6.911097765E-1,-1.796349525E0,-2.561624050E0
3.176263670E-1,7.039741278E-1,-1.787633896E0,-2.424037457E0
3.226441270E-1,7.087421417E-1,-1.752028942E0,-2.288393497E0
3.276618870E-1,7.523522377E-1,-1.732520580E0,-2.159135342E0
3.326796480E-1,7.584673166E-1,-1.762017727E0,-2.035933495E0
3.376974080E-1,7.512532473E-1,-1.825690269E0,-1.928001404E0
3.427151690E-1,7.356467843E-1,-1.876212597E0,-1.830012798E0
3.477329290E-1,7.026821375E-1,-1.899734020E0,-1.741665363E0
3.527506890E-1,6.764724851E-1,-1.887533188E0,-1.619981766E0
3.577684500E-1,6.430006027E-1,-1.859088898E0,-1.498314381E0
3.627862100E-1,6.593587399E-1,-1.876072407E0,-1.334016800E0
3.678039710E-1,7.013056874E-1,-1.862243652E0,-1.193764210E0
3.728217310E-1,7.353056669E-1,-1.822517395E0,-1.049036980E0
3.778394920E-1,7.278041840E-1,-1.789897919E0,-8.955001831E-1
3.828572520E-1,6.834692955E-1,-1.749780178E0,-7.429809570E-1
3.878750120E-1,5.881042480E-1,-1.692403793E0,-6.673965454E-1
3.928927730E-1,4.609464407E-1,-1.603440285E0,-6.302437782E-1
3.979105330E-1,3.304069936E-1,-1.492346287E0,-6.408247948E-1
4.029282940E-1,1.918424666E-1,-1.382809162E0,-6.656088829E-1
4.079460540E-1,2.182245255E-2,-1.283999920E0,-6.951651573E-1
4.129638140E-1,-8.464279771E-2,-1.195676804E0,-7.247667313E-1
4.179815750E-1,-2.464142442E-1,-8.385038376E-1,-6.835513115E-1
4.229993350E-1,-5.533977151E-1,-2.724537849E-1,-5.770540237E-1
4.280170960E-1,-9.717816710E-1,3.295092583E-1,-4.010572433E-1
4.330348560E-1,-1.453570366E0,8.437161446E-1,-2.269873619E-1
4.380526170E-1,-1.861225605E0,1.223546028E0,-1.651525497E-2
4.430703770E-1,-2.267255068E0,1.546053886E0,2.633786201E-1
4.480881370E-1,-2.587530613E0,1.849583149E0,6.357860565E-1
4.531058980E-1,-2.700754166E0,2.110441685E0,9.342370033E-1
4.581236580E-1,-2.557035923E0,2.229557514E0,1.084007263E0
4.631414190E-1,-2.177232742E0,2.199028492E0,1.120001316E0
4.681591790E-1,-1.524554491E0,2.025445461E0,1.138111115E0
4.731769390E-1,-7.758856416E-1,1.838616371E0,1.199843884E0
4.781947000E-1,-7.776468992E-2,1.653329849E0,1.290208817E0
4.832124600E-1,4.530177116E-1,1.479237080E0,1.295094013E0
4.882302210E-1,9.138182402E-1,1.326084614E0,1.300341606E0
4.932479810E-1,1.325434923E0,1.345629215E0,1.338863850E0
4.982657420E-1,1.504426479E0,1.493668079E0,1.410189152E0
5.032835020E-1,1.482145429E0,1.697989941E0,1.423813820E0
5.083012620E-1,1.260468245E0,1.887007713E0,1.437133789E0
5.133190230E-1,7.460044026E-1,2.260064125E0,1.497475147E0
5.183367830E-1,1.248729825E-1,2.450369835E0,1.699027061E0
5.233545440E-1,-3.007979989E-1,2.677708149E0,2.073564053E0
5.283723040E-1,-6.679954529E-1,2.965516090E0,2.277740955E0
5.333900640E-1,-1.139946222E0,3.360611916E0,2.355812073E0
5.384078250E-1,-1.479286194E0,3.577338696E0,2.190407753E0
5.434255850E-1,-1.672911644E0,3.811745644E0,1.893019199E0
5.484433460E-1,-1.688824892E0,3.959353447E0,1.649810791E0
5.534611060E-1,-1.566922665E0,4.068346024E0,1.569393158E0
5.584788670E-1,-1.423895001E0,4.295496941E0,1.787849426E0
5.634966270E-1,-1.252531528E0,4.231760025E0,1.903594971E0
5.685143870E-1,-9.872583151E-1,3.970211506E0,1.864989758E0
5.735321480E-1,-7.047918439E-1,3.617332458E0,1.772768021E0
5.785499080E-1,-4.138153791E-1,3.278812885E0,1.650790691E0
5.835676690E-1,-1.133534908E-1,2.921926022E0,1.674460411E0
5.885854290E-1,2.402970791E-1,2.533295631E0,1.747030735E0
5.936031890E-1,6.432142258E-1,2.090068817E0,1.881905079E0
5.986209500E-1,1.043972254E0,1.602575779E0,2.097369671E0
6.036387100E-1,1.438942909E0,1.066794872E0,2.364092350E0
6.086564710E-1,1.791247368E0,5.306825638E-1,2.686515331E0
6.136742310E-1,2.055020094E0,3.189182281E-2,2.908013821E0
6.186919920E-1,2.256106615E0,-4.113340378E-1,3.082250118E0
6.237097520E-1,2.281811476E0,-7.715392113E-1,3.267262459E0
6.287275120E-1,2.185810089E0,-1.064560890E0,3.501902580E0
6.337452730E-1,2.011346340E0,-1.211228848E0,3.592063427E0
6.387630330E-1,1.834569454E0,-1.294703960E0,3.620842457E0
6.437807940E-1,1.640616894E0,-1.354665756E0,3.570807457E0
6.487985540E-1,1.405701876E0,-1.378436089E0,3.325031757E0
6.538163140E-1,1.191962242E0,-1.410269737E0,3.052299976E0
6.588340750E-1,1.003819942E0,-1.441693783E0,2.767913342E0
6.638518350E-1,8.457557559E-1,-1.483225346E0,2.444198132E0
6.688695960E-1,7.411149144E-1,-1.587683678E0,2.067603111E0
6.738873560E-1,7.038567662E-1,-1.693349361E0,1.676867962E0
6.789051170E-1,6.911784410E-1,-1.785971642E0,1.191149712E0
6.839228770E-1,7.413876057E-1,-1.955865860E0,7.012333870E-1
6.889406370E-1,8.591176867E-1,-2.140310764E0,1.924519539E-1
6.939583980E-1,1.082334638E0,-2.333981991E0,-2.642741203E-1
6.989761580E-1,1.320163608E0,-2.545737743E0,-6.889142990E-1
7.039939190E-1,1.354218602E0,-2.755665302E0,-1.063445568E0
7.090116790E-1,1.347606301E0,-2.963149548E0,-1.265213966E0
7.140294390E-1,1.362063050E0,-3.081971645E0,-1.505194187E0
7.190472000E-1,1.411495924E0,-3.164257050E0,-1.817106247E0
7.240649600E-1,1.420064807E0,-3.204780579E0,-2.172687531E0
7.290827210E-1,1.412550569E0,-3.274512768E0,-2.491572380E0
7.341004810E-1,1.413547873E0,-3.382226229E0,-2.812774658E0
7.391182420E-1,1.372081757E0,-3.451098680E0,-3.279787540E0
7.441360020E-1,1.356893182E0,-3.471590281E0,-3.759284496E0
7.491537620E-1,1.354975820E0,-3.448257208E0,-4.190364361E0
7.541715230E-1,1.386318445E0,-3.447329760E0,-4.503089905E0
7.591892830E-1,1.403259993E0,-3.387017727E0,-4.608889103E0
7.642070440E-1,1.333882213E0,-3.248145580E0,-4.657150745E0
7.692248040E-1,1.054126620E0,-2.964095116E0,-4.658220291E0
7.742425640E-1,5.783494711E-1,-2.620978832E0,-4.655469894E0
7.792603250E-1,6.846976280E-2,-2.309444427E0,-4.577465057E0
7.842780850E-1,-4.385873079E-1,-2.062670231E0,-4.490889549E0
7.892958460E-1,-8.630356193E-1,-1.894622326E0,-4.404932022E0
7.943136060E-1,-1.253863096E0,-1.781146049E0,-4.333488941E0
7.993313670E-1,-1.574046493E0,-1.741234779E0,-4.218828201E0
8.043491270E-1,-1.848702908E0,-1.684311867E0,-4.084481239E0
8.093668870E-1,-2.088755608E0,-1.601252556E0,-3.896695137E0
8.143846480E-1,-2.247868299E0,-1.606652737E0,-3.660093307E0
8.194024080E-1,-2.232549191E0,-1.695514679E0,-3.331589699E0
8.244201690E-1,-2.125460386E0,-1.782160282E0,-3.053874254E0
8.294379290E-1,-1.960586309E0,-1.810103893E0,-2.868817806E0
8.344556890E-1,-1.704572678E0,-1.770968914E0,-2.713234901E0
8.394734500E-1,-1.433402658E0,-1.651569843E0,-2.524474144E0
8.444912100E-1,-1.146304369E0,-1.548404694E0,-2.321032524E0
8.495089710E-1,-8.808149695E-1,-1.443064690E0,-2.140397072E0
8.545267310E-1,-6.550645828E-1,-1.283728600E0,-1.977221966E0
8.595444920E-1,-4.730925262E-1,-1.094910622E0,-1.854838371E0
8.645622520E-1,-3.393565416E-1,-9.007349014E-1,-1.782347202E0
8.695800120E-1,-2.632579207E-1,-7.201919556E-1,-1.859465122E0
8.745977730E-1,-2.207568288E-1,-5.955328941E-1,-2.071558475E0
8.796154810E-1,-2.259728312E-1,-4.732060432E-1,-2.328302383E0
8.846331890E-1,-2.740961313E-1,-3.237476349E-1,-2.544660091E0
8.896508980E-1,-3.222588003E-1,-1.703138351E-1,-2.712179184E0
8.946686060E-1,-3.848913312E-1,-1.211166382E-2,-2.798683882E0
8.996863140E-1,-4.191054106E-1,1.514348984E-1,-2.824338675E0
9.047040230E-1,-4.204882085E-1,2.873578072E-1,-2.799433470E0
9.097217310E-1,-3.987171352E-1,3.675165176E-1,-2.705523729E0
9.147394390E-1,-3.681306243E-1,4.018630981E-1,-2.509813309E0
9.197571480E-1,-3.099255264E-1,4.429488182E-1,-2.222275257E0
9.247748560E-1,-2.386864126E-1,4.906463623E-1,-1.838526726E0
9.297925640E-1,-1.734405458E-1,6.065082550E-1,-1.439680099E0
9.348102730E-1,-1.566779315E-1,7.468042374E-1,-1.110991955E0
9.398279810E-1,-1.542242467E-1,8.917570114E-1,-8.419179916E-1
9.448456890E-1,-1.796481013E-1,1.050336361E0,-5.744247437E-1
9.498633980E-1,-1.849803925E-1,1.169555187E0,-3.031406403E-1
9.548811060E-1,-2.180678248E-1,1.249190807E0,-6.090831757E-2
9.598988140E-1,-2.169429362E-1,1.341708660E0,1.287941933E-1
9.649165230E-1,-2.345668674E-1,1.475493908E0,2.902541161E-1
9.699342310E-1,-2.091222405E-1,1.554994106E0,3.856201172E-1
9.749519390E-1,-1.504617333E-1,1.547177792E0,4.295072556E-1
9.799696480E-1,-9.713217616E-2,1.495561600E0,4.934406281E-1
9.849873560E-1,-2.562180161E-2,1.415026665E0,5.864591599E-1
9.900050640E-1,4.948866367E-2,1.344059467E0,7.034044266E-1
9.950227730E-1,1.043452621E-1,1.301926613E0,9.248495102E-1
1.000040481E0,1.816995740E-1,1.331521511E0,1.221515179E0
1.005058189E0,2.287129164E-1,1.403957367E0,1.597747803E0
1.010075898E0,2.307471037E-1,1.528542042E0,2.067492962E0
1.015093606E0,1.924228668E-1,1.695382595E0,2.525617123E0
1.020111314E0,1.185643673E-1,1.875273228E0,2.877373219E0
1.025129023E0,7.130071521E-2,2.048512936E0,3.128710270E0
1.030146731E0,3.654327989E-2,2.209855080E0,3.280697823E0
1.035164492E0,4.784414172E-2,2.382772923E0,3.296160698E0
1.040182252E0,7.681176066E-2,2.552639008E0,3.252312183E0
1.045200012E0,1.188058555E-1,2.700413704E0,3.049373150E0
1.050217773E0,1.978523433E-1,2.778935909E0,2.749631882E0
1.055235533E0,2.662900686E-1,2.851046562E0,2.467298508E0
1.060253294E0,3.095903695E-1,2.969686985E0,2.254186630E0
1.065271054E0,3.221818805E-1,3.092342854E0,2.047391415E0
1.070288814E0,3.174856603E-1,3.072089672E0,1.750669479E0
1.075306575E0,2.426400483E-1,3.029668808E0,1.372930527E0
1.080324335E0,1.406710744E-1,2.942734241E0,8.938655853E-1
1.085342096E0,7.435441017E-2,2.736713886E0,3.454976082E-1
1.090359856E0,5.429682136E-2,2.451726437E0,-1.354513168E-1
1.095377617E0,-2.261897922E-2,2.265686989E0,-5.365834236E-1
1.100395377E0,-9.208905697E-2,1.973843098E0,-7.877011299E-1
1.105413137E0,-1.521162093E-1,1.605531216E0,-6.754059792E-1
1.110430898E0,-1.874288917E-1,1.118203163E0,-6.306648254E-2
1.115448658E0,-3.122249246E-1,6.546716690E-1,7.954702377E-1
1.120466419E0,-6.739346981E-1,5.283575058E-1,1.481166363E0
1.125484179E0,-1.038411975E0,3.691849709E-1,2.292399883E0
1.130501939E0,-1.258805037E0,9.465456009E-2,3.082962990E0
1.135519700E0,-1.360363960E0,-3.060894012E-1,3.750323296E0
1.140537460E0,-1.377567530E0,-7.437391281E-1,4.263737679E0
1.145555221E0,-1.406514406E0,-1.115092278E0,4.601980686E0
1.150572981E0,-1.400008202E0,-1.398360729E0,4.843811035E0
1.155590742E0,-1.349383712E0,-1.595396519E0,4.948061466E0
1.160608502E0,-1.298149109E0,-1.722109795E0,4.892488956E0
1.165626262E0,-1.298997521E0,-1.712915897E0,4.716521263E0
1.170644023E0,-1.351927996E0,-1.554542065E0,4.325527668E0
1.175661783E0,-1.462060690E0,-1.395607471E0,3.954051018E0
1.180679544E0,-1.577794671E0,-1.283317089E0,3.496546745E0
1.185697304E0,-1.676473856E0,-1.163967609E0,2.866480350E0
1.190715064E0,-1.716141462E0,-1.040916443E0,2.115613461E0
1.195732825E0,-1.716910958E0,-9.506311417E-1,1.323866367E0
1.200750585E0,-1.674839377E0,-9.199275970E-1,5.946993828E-1
1.205768346E0,-1.599645495E0,-9.329152107E-1,-1.449942589E-1
1.210786106E0,-1.520030618E0,-9.451279640E-1,-8.822259903E-1
1.215803867E0,-1.402039409E0,-9.506773949E-1,-1.527539253E0
1.220821627E0,-1.302339792E0,-9.821276665E-1,-2.077413082E0
1.225839387E0,-1.124576449E0,-1.086455822E0,-2.513801098E0
1.230857148E0,-8.490970135E-1,-1.210426331E0,-2.761381149E0
1.235874908E0,-4.997461736E-1,-1.329711914E0,-2.854726791E0
1.240892669E0,8.918792009E-3,-1.439156532E0,-2.756720066E0
1.245910429E0,3.185915053E-1,-1.529231548E0,-2.606445789E0
1.250928189E0,3.924615681E-1,-1.585900784E0,-2.346660137E0
1.255945950E0,4.229635596E-1,-1.609864712E0,-2.105969906E0
1.260963710E0,4.394603968E-1,-1.625733376E0,-1.907476902E0
1.265981471E0,4.566650391E-1,-1.658133030E0,-1.669165134E0
1.270999231E0,4.602678418E-1,-1.598093510E0,-1.380846500E0
1.276016992E0,3.685631156E-1,-1.503729343E0,-1.089866161E0
1.281034752E0,2.858305573E-1,-1.499583244E0,-8.005661964E-1
1.286052512E0,2.018206269E-1,-1.547470570E0,-6.318230629E-1
1.291070273E0,1.405174583E-1,-1.609640598E0,-5.968885422E-1
1.296088033E0,1.071366668E-1,-1.681883812E0,-6.326804161E-1
1.301105794E0,6.414529681E-2,-1.736051559E0,-6.478729248E-1
1.306123554E0,7.400882244E-2,-1.753648281E0,-6.802811623E-1
1.311141314E0,1.700491905E-1,-1.778148651E0,-7.342877388E-1
1.316159075E0,3.281337023E-1,-1.790578365E0,-8.431248665E-1
1.321176835E0,4.769191444E-1,-1.838870049E0,-9.873976707E-1
1.326194596E0,6.267186403E-1,-1.832330704E0,-1.171750546E0
1.331212356E0,6.160257459E-1,-1.637665272E0,-1.362659931E0
1.336230117E0,4.934818149E-1,-1.403597355E0,-1.517104149E0
1.341247877E0,3.453026712E-1,-1.230308056E0,-1.597212791E0
1.346265637E0,1.997269988E-1,-1.074412346E0,-1.598682404E0
1.351283398E0,9.873837233E-2,-9.022607803E-1,-1.569637299E0
1.356301158E0,5.078381300E-2,-7.517580986E-1,-1.562895775E0
1.361318919E0,2.147704363E-2,-6.322779655E-1,-1.564092159E0
1.366336679E0,6.770658493E-2,-5.340800285E-1,-1.625722885E0
1.371354439E0,1.366659701E-1,-4.571590424E-1,-1.695007801E0
1.376372200E0,2.043965459E-1,-3.631520271E-1,-1.729070663E0
1.381389960E0,2.567906976E-1,-3.332557678E-1,-1.875907421E0
1.386407721E0,2.994739115E-1,-2.956790924E-1,-1.987234592E0
1.391425481E0,3.376791477E-1,-2.168908119E-1,-2.072877407E0
1.396443242E0,3.905230463E-1,-1.970210075E-1,-2.176044941E0
1.401461002E0,4.295535982E-1,-1.973762512E-1,-2.292185783E0
1.406478762E0,4.644040763E-1,-1.984472275E-1,-2.378624439E0
1.411496523E0,4.332694411E-1,-1.950268745E-1,-2.488356590E0
1.416514283E0,3.843330145E-1,-1.724324226E-1,-2.635985374E0
1.421532044E0,3.179316521E-1,-9.698629379E-2,-2.688121319E0
1.426549804E0,2.721944451E-1,-6.734371185E-3,-2.697881222E0
1.431567564E0,2.660629749E-1,6.521272659E-2,-2.699139595E0
1.436585325E0,2.708495855E-1,1.001710892E-1,-2.677950859E0
1.441603085E0,2.914391160E-1,1.126890182E-1,-2.586801052E0
1.446620846E0,3.042066097E-1,1.505684853E-1,-2.464149475E0
1.451638606E0,3.140661716E-1,2.041339874E-1,-2.329169750E0
1.456656367E0,3.739676476E-1,2.493133545E-1,-2.186559677E0
1.461674127E0,4.172307253E-1,3.194189072E-1,-2.017163277E0
1.466691887E0,4.823499918E-1,3.330540657E-1,-1.844760418E0
1.471709648E0,5.218343735E-1,3.904089928E-1,-1.707335472E0
1.476727408E0,5.885984302E-1,4.005932808E-1,-1.542660236E0
