"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.504219550E1,2.557826100E1,2.501781730E1,NaN,NaN,5.349700165E1,4.009879589E0
3.683076509E0,6.504278396E1,2.557889501E1,1.816224038E1,1.440000057E0,3.262999878E2,1.169308853E1,8.960826874E0
4.291202863E0,6.504275129E1,2.557886652E1,2.073293124E1,0.000000000E0,NaN,5.192905426E0,5.082238197E0
5.290729113E0,6.504275603E1,2.557879724E1,1.976223311E1,1.330000043E0,2.952000122E2,4.183882236E0,4.020564079E0
6.291474164E0,6.504276141E1,2.557876463E1,2.197561345E1,1.370000005E0,2.953999939E2,3.790092468E0,3.420158386E0
7.291069373E0,6.504276134E1,2.557875539E1,2.173873688E1,1.340000033E0,3.012000122E2,3.790092468E0,2.939400673E0
8.290639580E0,6.504277097E1,2.557873388E1,2.367153635E1,1.519999981E0,2.828999939E2,3.790092468E0,2.721867323E0
9.290899424E0,6.504278319E1,2.557869593E1,2.401492007E1,1.419999957E0,2.967000122E2,3.790092468E0,2.887952805E0
1.029126000E1,6.504278560E1,2.557866693E1,2.353158464E1,1.429999948E0,2.956000061E2,3.790092468E0,2.791404009E0
1.129092802E1,6.504278965E1,2.557863796E1,2.474069257E1,1.490000010E0,2.967999878E2,3.790092468E0,2.809417725E0
1.229077515E1,6.504279438E1,2.557860968E1,2.411514448E1,1.440000057E0,2.967999878E2,3.790092468E0,2.571674585E0
1.329122807E1,6.504280095E1,2.557858531E1,2.485074051E1,1.370000005E0,3.015000000E2,3.790092468E0,2.524425268E0
1.429087182E1,6.504280801E1,2.557856143E1,2.511593840E1,1.419999957E0,3.025000000E2,3.790092468E0,2.500000000E0
1.529113744E1,6.504281451E1,2.557853457E1,2.558462795E1,1.379999995E0,3.038999939E2,3.790092468E0,2.507353544E0
1.629105526E1,6.504282086E1,2.557850774E1,2.572159145E1,1.409999967E0,3.002999878E2,3.790092468E0,2.500000000E0
1.729132572E1,6.504282710E1,2.557848067E1,2.538138216E1,1.409999967E0,3.002999878E2,3.790092468E0,2.500000000E0
1.829143697E1,6.504283258E1,2.557845320E1,2.530270878E1,1.370000005E0,3.001000061E2,3.790092468E0,2.500000000E0
1.929089827E1,6.504283843E1,2.557842602E1,2.536533164E1,1.389999986E0,3.002000122E2,3.790092468E0,2.500000000E0
2.029116234E1,6.504284421E1,2.557839772E1,2.614536186E1,1.350000024E0,2.991000061E2,3.790092468E0,2.500000000E0
2.129052864E1,6.504285066E1,2.557836990E1,2.602884642E1,1.370000005E0,2.986000061E2,3.790092468E0,2.500000000E0
2.229088681E1,6.504285694E1,2.557834546E1,2.598709879E1,1.379999995E0,3.017000122E2,3.790092468E0,2.500000000E0
2.329133395E1,6.504286324E1,2.557831660E1,2.654026123E1,1.440000057E0,2.942999878E2,3.790092468E0,2.500000000E0
2.429057286E1,6.504286882E1,2.557828726E1,2.652842148E1,1.370000005E0,2.958999939E2,3.790092468E0,2.500000000E0
2.529144895E1,6.504287520E1,2.557826182E1,2.643058261E1,1.330000043E0,3.007000122E2,3.790092468E0,2.500000000E0
2.629071640E1,6.504288103E1,2.557823676E1,2.699003145E1,1.370000005E0,2.971000061E2,3.790092468E0,2.500000000E0
2.729108015E1,6.504288647E1,2.557820727E1,2.697983971E1,1.419999957E0,2.967000122E2,3.790092468E0,2.500000000E0
2.829092775E1,6.504289261E1,2.557817624E1,2.721409370E1,1.409999967E0,2.977999878E2,3.790092468E0,2.500000000E0
2.929132020E1,6.504289906E1,2.557814761E1,2.748844748E1,1.419999957E0,2.997999878E2,3.790092468E0,2.500000000E0
3.029134692E1,6.504290600E1,2.557812229E1,2.736741506E1,1.389999986E0,2.981000061E2,3.790092468E0,2.500000000E0
3.129145598E1,6.504291086E1,2.557809519E1,2.768870520E1,1.350000024E0,2.955000000E2,3.790092468E0,2.500000000E0
3.229067801E1,6.504291540E1,2.557806969E1,2.743748552E1,1.340000033E0,2.983999939E2,3.790092468E0,2.500000000E0
3.329141572E1,6.504291998E1,2.557804367E1,2.749614136E1,1.350000024E0,2.998999939E2,3.790092468E0,2.500000000E0
3.429059473E1,6.504292599E1,2.557801864E1,2.724193048E1,1.330000043E0,3.012999878E2,3.790092468E0,2.500000000E0
3.529144822E1,6.504293169E1,2.557799320E1,2.665867920E1,1.269999981E0,2.987000122E2,3.790092468E0,2.500000000E0
3.629064420E1,6.504293623E1,2.557796323E1,2.662859030E1,1.360000014E0,2.910000000E2,3.790092468E0,2.500000000E0
3.729073426E1,6.504294082E1,2.557793140E1,2.653722226E1,1.379999995E0,2.971000061E2,3.790092468E0,2.500000000E0
